# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
4.0000000000e+01	head	2.1299950777e+03	7.0941727594e+05	5.0040023293e+03	3.1537244712e+04
5.0000000000e+01	head	1.9117727589e+03	7.0685817929e+05	4.9057175253e+03	3.0917814161e+04
6.0000000000e+01	head	1.8430690680e+03	7.0501331914e+05	4.7978792581e+03	3.0238173826e+04
7.0000000000e+01	head	1.7808022893e+03	7.0047430830e+05	4.7112190261e+03	2.9692006026e+04
8.0000000000e+01	head	1.7906416152e+03	6.9963650655e+05	4.6531796440e+03	2.9326218387e+04
9.0000000000e+01	head	2.1037628934e+03	7.0453864732e+05	4.6185106551e+03	2.9107720410e+04
1.0000000000e+02	head	2.3869375839e+03	7.1472398201e+05	4.5978548974e+03	2.8977539479e+04
1.1000000000e+02	head	2.3640785450e+03	7.2977910885e+05	4.5879476284e+03	2.8915099866e+04
1.2000000000e+02	head	2.3396958145e+03	7.4581887058e+05	4.5881857278e+03	2.8916600465e+04
