option,h_W_m2K,h_area_equiv_W_m2K,dp_lower_bound_Pa,network_Tbridge_C,CalculiX_surrogate_Tmax_C,CalculiX_surrogate_p95_C,Pareto,screen_pass
baseline-capture70,215.7639414087494,215.7639414087494,1090.6668687633698,370.679695310577,540.6920858943026,411.71497386984083,False,False
shroud-deflectors-capture100,284.0506485432542,284.0506485432542,2041.40766347648,339.4563010652097,491.09398837574236,360.0990024898574,False,False
internal-fin-area-plus25,215.7639414087494,269.70492676093676,1090.6668687633698,344.7383212437019,499.8976469875255,369.1664450748842,False,False
conductivity-plus20-coupon,215.7639414087494,215.7639414087494,1090.6668687633698,330.86487285088685,506.19638233639074,396.4289667282506,True,False
combined-capture100-area125-k120,284.0506485432542,355.0633106790678,2041.40766347648,279.9084318328072,421.3360366610051,308.93352208384005,True,False
