# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	average(T)	average(UMagSqr)
0                 	3.0815000000e+02	1.1069797890e+03
10                	3.0822359298e+02	1.1150761571e+03
20                	3.0862048883e+02	1.2320295181e+03
30                	3.0888917168e+02	1.4647346725e+03
40                	3.0887481695e+02	1.6636209900e+03
