# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	average(T)	average(UMagSqr)
40                	3.0887481695e+02	1.6636209900e+03
50                	3.0888403720e+02	1.7302907276e+03
60                	3.0889975714e+02	1.7962112372e+03
70                	3.0892040750e+02	1.8703671686e+03
80                	3.0894079293e+02	1.9529717930e+03
90                	3.0895717563e+02	2.0396180752e+03
100               	3.0896728183e+02	2.1267464009e+03
110               	3.0896716767e+02	2.2135775267e+03
120               	3.0895235169e+02	2.2976944852e+03
