# Selection       : patch(outlet)
# Faces           : 437
# Area            : 2.2597937500e-02
# Time            	average(T)
40                	3.0887481695e+02
50                	3.0888403720e+02
60                	3.0889975714e+02
70                	3.0892040750e+02
80                	3.0894079293e+02
90                	3.0895717563e+02
100               	3.0896728183e+02
110               	3.0896716767e+02
120               	3.0895235169e+02
