# Wall heat-flux  
# Time            	patch             	min [W/m^2]       	max [W/m^2]       	Q [W]             	q [W/m^2]         
0.0000000000e+00	head	1.0315658931e+05	1.9696473354e+07	7.6560891635e+04	4.8251767604e+05
1.0000000000e+01	head	3.8835318563e+03	8.0745573636e+05	4.9765120466e+03	3.1363989842e+04
2.0000000000e+01	head	3.8086181626e+03	7.4520829844e+05	5.1369452359e+03	3.2375104629e+04
3.0000000000e+01	head	2.8521291226e+03	7.1951789217e+05	5.1014055078e+03	3.2151118902e+04
4.0000000000e+01	head	2.1299950777e+03	7.0941727594e+05	5.0040023293e+03	3.1537244712e+04
